Entity,Code,Day,people_vaccinated
Africa,,2021-04-13,9495660
Africa,,2021-04-14,9829103
Africa,,2021-04-15,9927474
Africa,,2021-04-16,10039775
Africa,,2021-04-17,10111883
Albania,ALB,2021-01-10,0
Albania,ALB,2021-01-12,128
Albania,ALB,2021-01-13,188
Albania,ALB,2021-01-14,266
Albania,ALB,2021-01-15,308
Albania,ALB,2021-01-16,369
Albania,ALB,2021-01-17,405
Albania,ALB,2021-01-18,447
Albania,ALB,2021-01-19,483
Albania,ALB,2021-01-20,519
Albania,ALB,2021-01-21,549
Albania,ALB,2021-02-02,549
Albania,ALB,2021-02-09,689
Albania,ALB,2021-02-17,1090
Albania,ALB,2021-02-18,2438
Albania,ALB,2021-02-22,6073
Andorra,AND,2021-01-25,576
Andorra,AND,2021-02-01,1036
Andorra,AND,2021-02-10,1291
Andorra,AND,2021-02-12,1622
Andorra,AND,2021-02-19,2141
Andorra,AND,2021-02-24,2390
Andorra,AND,2021-03-08,2439
Andorra,AND,2021-03-10,3650
Andorra,AND,2021-03-15,7098
Andorra,AND,2021-04-05,9781
Angola,AGO,2021-03-01,0
Angola,AGO,2021-03-08,6169
Angola,AGO,2021-03-18,49000
Angola,AGO,2021-03-24,87022
Angola,AGO,2021-03-29,130750
Angola,AGO,2021-04-06,181578
Angola,AGO,2021-04-11,245442
Anguilla,AIA,2021-02-04,0
Anguilla,AIA,2021-02-13,1341
Anguilla,AIA,2021-02-14,2762
Anguilla,AIA,2021-02-26,3929
Anguilla,AIA,2021-03-09,4700
Anguilla,AIA,2021-03-13,5000
Anguilla,AIA,2021-03-19,5348
Anguilla,AIA,2021-04-12,5835
Antigua and Barbuda,ATG,2021-02-16,0
Antigua and Barbuda,ATG,2021-03-15,24164
Antigua and Barbuda,ATG,2021-03-19,25677
Antigua and Barbuda,ATG,2021-03-25,26424
Antigua and Barbuda,ATG,2021-03-31,26836
Antigua and Barbuda,ATG,2021-04-03,27032
Antigua and Barbuda,ATG,2021-04-14,27592
Antigua and Barbuda,ATG,2021-04-16,28414
Antigua and Barbuda,ATG,2021-04-17,28639
Argentina,ARG,2021-01-20,243539
Argentina,ARG,2021-01-21,249372
Argentina,ARG,2021-01-22,254456
Argentina,ARG,2021-01-23,258876
Argentina,ARG,2021-01-24,260036
Argentina,ARG,2021-01-25,260122
Argentina,ARG,2021-01-26,266969
Argentina,ARG,2021-01-27,272323
Argentina,ARG,2021-01-28,276548
Argentina,ARG,2021-01-29,278451
Argentina,ARG,2021-01-30,281023
Argentina,ARG,2021-02-01,281577
Argentina,ARG,2021-02-03,284196
Argentina,ARG,2021-02-04,297717
Argentina,ARG,2021-02-06,307501
Argentina,ARG,2021-02-07,319316
Argentina,ARG,2021-02-08,322318
Argentina,ARG,2021-02-09,322975
Argentina,ARG,2021-02-10,337772
Argentina,ARG,2021-02-11,362649
Argentina,ARG,2021-02-12,368023
Argentina,ARG,2021-02-13,371629
Argentina,ARG,2021-02-14,372122
Argentina,ARG,2021-02-15,372181
Argentina,ARG,2021-02-16,373253
Argentina,ARG,2021-02-17,374002
Argentina,ARG,2021-02-18,392399
Argentina,ARG,2021-02-19,414958
Argentina,ARG,2021-02-20,445614
Argentina,ARG,2021-02-21,456929
Argentina,ARG,2021-02-22,458822
Argentina,ARG,2021-02-23,481689
Argentina,ARG,2021-02-24,513394
Argentina,ARG,2021-02-25,558831
Argentina,ARG,2021-02-26,620635
Argentina,ARG,2021-02-27,694470
Argentina,ARG,2021-02-28,731571
Argentina,ARG,2021-03-01,755212
Argentina,ARG,2021-03-02,823446
Argentina,ARG,2021-03-03,874916
Argentina,ARG,2021-03-04,941695
Argentina,ARG,2021-03-05,1030504
Argentina,ARG,2021-03-07,1182874
Argentina,ARG,2021-03-08,1202998
Argentina,ARG,2021-03-09,1301787
Argentina,ARG,2021-03-10,1424984
Argentina,ARG,2021-03-11,1564555
Argentina,ARG,2021-03-12,1719543
Argentina,ARG,2021-03-13,1876113
Argentina,ARG,2021-03-14,1932696
Argentina,ARG,2021-03-15,1952883
Argentina,ARG,2021-03-16,2064529
Argentina,ARG,2021-03-17,2170116
Argentina,ARG,2021-03-18,2289249
Argentina,ARG,2021-03-19,2382859
Argentina,ARG,2021-03-20,2472426
Argentina,ARG,2021-03-21,2514480
Argentina,ARG,2021-03-22,2535054
Argentina,ARG,2021-03-23,2618750
Argentina,ARG,2021-03-24,2694454
Argentina,ARG,2021-03-25,2730260
Argentina,ARG,2021-03-26,2824344
Argentina,ARG,2021-03-27,2908932
Argentina,ARG,2021-03-28,2959843
Argentina,ARG,2021-03-29,2980182
Argentina,ARG,2021-03-30,3073630
Argentina,ARG,2021-03-31,3214538
Argentina,ARG,2021-04-01,3342427
Argentina,ARG,2021-04-02,3440284
Argentina,ARG,2021-04-03,3495125
Argentina,ARG,2021-04-04,3550166
Argentina,ARG,2021-04-05,3576423
Argentina,ARG,2021-04-06,3712009
Argentina,ARG,2021-04-07,3870734
Argentina,ARG,2021-04-08,4064154
Argentina,ARG,2021-04-09,4244964
Argentina,ARG,2021-04-10,4478948
Argentina,ARG,2021-04-11,4586426
Argentina,ARG,2021-04-12,4661085
Argentina,ARG,2021-04-13,4836246
Argentina,ARG,2021-04-14,4996672
Argentina,ARG,2021-04-15,5163344
Argentina,ARG,2021-04-16,5305604
Argentina,ARG,2021-04-17,5431994
Armenia,ARM,2021-03-31,565
Asia,,2020-12-15,0
Asia,,2020-12-19,61
Asia,,2020-12-20,7433
Asia,,2020-12-21,32308
Asia,,2020-12-22,76924
Asia,,2020-12-23,178709
Asia,,2020-12-24,263116
Asia,,2020-12-25,302028
Asia,,2020-12-26,335595
Asia,,2020-12-27,441950
Asia,,2020-12-28,579793
Asia,,2020-12-29,738301
Asia,,2020-12-30,893856
Asia,,2020-12-31,1054687
Asia,,2021-01-01,1126569
Asia,,2021-01-02,1199591
Asia,,2021-01-03,1351050
Asia,,2021-01-04,1505597
Asia,,2021-01-05,1634612
Asia,,2021-01-06,1743364
Asia,,2021-01-07,1863686
Asia,,2021-01-08,1936018
Asia,,2021-01-09,1986342
Asia,,2021-01-10,2866377
Asia,,2021-01-11,2896490
Asia,,2021-01-12,2930666
Asia,,2021-01-13,2988190
Asia,,2021-01-14,3054071
Asia,,2021-01-15,3097886
Asia,,2021-01-16,3333302
Asia,,2021-01-17,3439048
Asia,,2021-01-18,3739564
Asia,,2021-01-19,4033683
Asia,,2021-01-20,4242379
Asia,,2021-01-21,4549000
Asia,,2021-01-22,5119558
Asia,,2021-01-23,5381003
Asia,,2021-01-24,5500464
Asia,,2021-01-25,6002199
Asia,,2021-01-26,6191892
Asia,,2021-01-27,6716995
Asia,,2021-01-28,7431021
Asia,,2021-01-29,8081862
Asia,,2021-01-30,8470741
Asia,,2021-01-31,8643849
Asia,,2021-02-01,9001535
Asia,,2021-02-02,9362121
Asia,,2021-02-03,9805430
Asia,,2021-02-04,10452108
Asia,,2021-02-05,11377460
Asia,,2021-02-06,11864086
Asia,,2021-02-07,12006258
Asia,,2021-02-08,12562619
Asia,,2021-02-09,13186864
Asia,,2021-02-10,14064164
Asia,,2021-02-11,14708250
Asia,,2021-02-12,18290169
Asia,,2021-02-13,19045208
Asia,,2021-02-14,19397153
Asia,,2021-02-15,20527606
Asia,,2021-02-16,21473000
Asia,,2021-02-17,22647782
Asia,,2021-02-18,24119441
Asia,,2021-02-19,24870263
Asia,,2021-02-20,25634878
Asia,,2021-02-21,25955519
Asia,,2021-02-22,26712661
Asia,,2021-02-23,30333608
Asia,,2021-02-24,31262647
Asia,,2021-02-25,32163899
Asia,,2021-02-26,32869204
Asia,,2021-02-27,33455432
Asia,,2021-02-28,33817989
Asia,,2021-03-01,34916716
Asia,,2021-03-02,36374690
Asia,,2021-03-03,37906592
Asia,,2021-03-04,39573755
Asia,,2021-03-05,41177729
Asia,,2021-03-06,42524301
Asia,,2021-03-07,43279537
Asia,,2021-03-08,45427501
Asia,,2021-03-09,47272089
Asia,,2021-03-10,49414266
Asia,,2021-03-11,50398199
Asia,,2021-03-12,52331916
Asia,,2021-03-13,55234879
Asia,,2021-03-14,55683285
Asia,,2021-03-15,58985973
Asia,,2021-03-16,61536035
Asia,,2021-03-17,63868852
Asia,,2021-03-18,66111372
Asia,,2021-03-19,69101186
Asia,,2021-03-20,72062215
Asia,,2021-03-21,72628557
Asia,,2021-03-22,76596745
Asia,,2021-03-23,79728237
Asia,,2021-03-24,82259212
Asia,,2021-03-25,85033140
Asia,,2021-03-26,88078399
Asia,,2021-03-27,90438287
Asia,,2021-03-28,91044740
Asia,,2021-03-29,92330038
Asia,,2021-03-30,94801812
Asia,,2021-03-31,98401048
Asia,,2021-04-01,102604687
Asia,,2021-04-02,106900337
Asia,,2021-04-03,110030402
Asia,,2021-04-04,113457493
Asia,,2021-04-05,117655211
Asia,,2021-04-06,122042217
Asia,,2021-04-07,125682974
Asia,,2021-04-08,130487232
Asia,,2021-04-09,134264555
Asia,,2021-04-10,138464560
Asia,,2021-04-11,141603980
Asia,,2021-04-12,145932051
Asia,,2021-04-13,148868929
Asia,,2021-04-14,152659347
Asia,,2021-04-15,155568938
Asia,,2021-04-16,158171988
Asia,,2021-04-17,160426903
Australia,AUS,2021-02-15,0
Australia,AUS,2021-02-16,0
Australia,AUS,2021-02-17,0
Australia,AUS,2021-02-18,0
Australia,AUS,2021-02-19,0
Australia,AUS,2021-02-20,0
Australia,AUS,2021-02-21,0
Australia,AUS,2021-02-22,20
Australia,AUS,2021-02-23,2879
Australia,AUS,2021-02-24,6908
Australia,AUS,2021-02-25,17500
Australia,AUS,2021-02-26,25000
Australia,AUS,2021-02-27,30000
Australia,AUS,2021-02-28,31894
Australia,AUS,2021-03-01,33702
Australia,AUS,2021-03-02,41907
Australia,AUS,2021-03-03,50840
Australia,AUS,2021-03-04,61008
Australia,AUS,2021-03-05,71867
Australia,AUS,2021-03-06,76940
Australia,AUS,2021-03-07,81345
Australia,AUS,2021-03-08,86369
Australia,AUS,2021-03-09,94908
Australia,AUS,2021-03-10,106200
Australia,AUS,2021-03-11,125000
Australia,AUS,2021-03-12,135103
Australia,AUS,2021-03-13,159294
Austria,AUT,2020-12-27,732
Austria,AUT,2020-12-28,2029
Austria,AUT,2020-12-29,3648
Austria,AUT,2020-12-30,4996
Austria,AUT,2020-12-31,5004
Austria,AUT,2021-01-01,5008
Austria,AUT,2021-01-02,5014
Austria,AUT,2021-01-03,5015
Austria,AUT,2021-01-04,5131
Austria,AUT,2021-01-05,6921
Austria,AUT,2021-01-06,7754
Austria,AUT,2021-01-07,10930
Austria,AUT,2021-01-08,23886
Austria,AUT,2021-01-09,28288
Austria,AUT,2021-01-10,30508
Austria,AUT,2021-01-11,36122
Austria,AUT,2021-01-12,50680
Austria,AUT,2021-01-13,65900
Austria,AUT,2021-01-14,82422
Austria,AUT,2021-01-15,100460
Austria,AUT,2021-01-16,107209
Austria,AUT,2021-01-17,112532
Austria,AUT,2021-01-18,123024
Austria,AUT,2021-01-19,147344
Austria,AUT,2021-01-20,169499
Austria,AUT,2021-01-21,188960
Austria,AUT,2021-01-22,200033
Austria,AUT,2021-01-23,203149
Austria,AUT,2021-01-24,204386
Austria,AUT,2021-01-25,205765
Austria,AUT,2021-01-26,213343
Austria,AUT,2021-01-27,220815
Austria,AUT,2021-01-28,227996
Austria,AUT,2021-01-29,233304
Austria,AUT,2021-01-30,234638
Austria,AUT,2021-01-31,234992
Austria,AUT,2021-02-01,236562
Austria,AUT,2021-02-02,239677
Austria,AUT,2021-02-03,242881
Austria,AUT,2021-02-04,245867
Austria,AUT,2021-02-05,249937
Austria,AUT,2021-02-06,252693
Austria,AUT,2021-02-07,253308
Austria,AUT,2021-02-08,255342
Austria,AUT,2021-02-09,258162
Austria,AUT,2021-02-10,261692
Austria,AUT,2021-02-11,266938
Austria,AUT,2021-02-12,275282
Austria,AUT,2021-02-13,280605
Austria,AUT,2021-02-14,281063
Austria,AUT,2021-02-15,284961
Austria,AUT,2021-02-16,291904
Austria,AUT,2021-02-17,301608
Austria,AUT,2021-02-18,313202
Austria,AUT,2021-02-19,326056
Austria,AUT,2021-02-20,337271
Austria,AUT,2021-02-21,342867
Austria,AUT,2021-02-22,347939
Austria,AUT,2021-02-23,358125
Austria,AUT,2021-02-24,374275
Austria,AUT,2021-02-25,390490
Austria,AUT,2021-02-26,414312
Austria,AUT,2021-02-27,437002
Austria,AUT,2021-02-28,446849
Austria,AUT,2021-03-01,454601
Austria,AUT,2021-03-02,477282
Austria,AUT,2021-03-03,502595
Austria,AUT,2021-03-04,526801
Austria,AUT,2021-03-05,560033
Austria,AUT,2021-03-06,585444
Austria,AUT,2021-03-07,596647
Austria,AUT,2021-03-08,606694
Austria,AUT,2021-03-09,631276
Austria,AUT,2021-03-10,655523
Austria,AUT,2021-03-11,694526
Austria,AUT,2021-03-12,746937
Austria,AUT,2021-03-13,793223
Austria,AUT,2021-03-14,818650
Austria,AUT,2021-03-15,837042
Austria,AUT,2021-03-16,858826
Austria,AUT,2021-03-17,884657
Austria,AUT,2021-03-18,911129
Austria,AUT,2021-03-19,955922
Austria,AUT,2021-03-20,993359
Austria,AUT,2021-03-21,1004967
Austria,AUT,2021-03-22,1018132
Austria,AUT,2021-03-23,1036634
Austria,AUT,2021-03-24,1057826
Austria,AUT,2021-03-25,1086708
Austria,AUT,2021-03-26,1118338
Austria,AUT,2021-03-27,1144313
Austria,AUT,2021-03-28,1154089
Austria,AUT,2021-03-29,1174799
Austria,AUT,2021-03-30,1203715
Austria,AUT,2021-03-31,1225456
Austria,AUT,2021-04-01,1247828
Austria,AUT,2021-04-02,1272211
Austria,AUT,2021-04-03,1284802
Austria,AUT,2021-04-04,1292994
Austria,AUT,2021-04-05,1300682
Austria,AUT,2021-04-06,1326062
Austria,AUT,2021-04-07,1364537
Austria,AUT,2021-04-08,1410309
Austria,AUT,2021-04-09,1454651
Austria,AUT,2021-04-10,1490504
Austria,AUT,2021-04-11,1500677
Austria,AUT,2021-04-12,1527422
Austria,AUT,2021-04-13,1559390
Austria,AUT,2021-04-14,1610976
Austria,AUT,2021-04-15,1662239
Austria,AUT,2021-04-16,1710837
Austria,AUT,2021-04-17,1743873
Azerbaijan,AZE,2021-01-17,0
Azerbaijan,AZE,2021-02-06,65000
Azerbaijan,AZE,2021-03-01,293360
Azerbaijan,AZE,2021-03-03,337315
Azerbaijan,AZE,2021-03-09,411496
Azerbaijan,AZE,2021-03-10,428635
Azerbaijan,AZE,2021-03-11,436849
Azerbaijan,AZE,2021-03-12,443888
Azerbaijan,AZE,2021-03-13,450316
Azerbaijan,AZE,2021-03-14,453586
Azerbaijan,AZE,2021-03-20,482664
Azerbaijan,AZE,2021-03-26,510420
Azerbaijan,AZE,2021-04-01,558485
Azerbaijan,AZE,2021-04-02,569994
Azerbaijan,AZE,2021-04-03,582463
Azerbaijan,AZE,2021-04-04,590914
Azerbaijan,AZE,2021-04-05,591012
Azerbaijan,AZE,2021-04-06,611471
Azerbaijan,AZE,2021-04-07,639463
Azerbaijan,AZE,2021-04-08,672503
Azerbaijan,AZE,2021-04-09,706433
Azerbaijan,AZE,2021-04-10,739319
Azerbaijan,AZE,2021-04-11,758275
Azerbaijan,AZE,2021-04-12,758289
Azerbaijan,AZE,2021-04-13,787066
Azerbaijan,AZE,2021-04-14,813413
Azerbaijan,AZE,2021-04-15,837304
Azerbaijan,AZE,2021-04-16,859338
Azerbaijan,AZE,2021-04-17,879356
Bahamas,BHS,2021-03-17,110
Bahamas,BHS,2021-03-18,7000
Bahamas,BHS,2021-04-07,10000
Bahamas,BHS,2021-04-12,15000
Bahrain,BHR,2020-12-23,38965
Bahrain,BHR,2020-12-24,50071
Bahrain,BHR,2020-12-25,50543
Bahrain,BHR,2020-12-26,51556
Bahrain,BHR,2020-12-27,53614
Bahrain,BHR,2020-12-28,55014
Bahrain,BHR,2020-12-29,56041
Bahrain,BHR,2020-12-30,57317
Bahrain,BHR,2020-12-31,58643
Bahrain,BHR,2021-01-01,59351
Bahrain,BHR,2021-01-02,60097
Bahrain,BHR,2021-01-03,60689
Bahrain,BHR,2021-01-04,61612
Bahrain,BHR,2021-01-05,63893
Bahrain,BHR,2021-01-06,68472
Bahrain,BHR,2021-01-07,72239
Bahrain,BHR,2021-01-08,78291
Bahrain,BHR,2021-01-09,84157
Bahrain,BHR,2021-01-10,89250
Bahrain,BHR,2021-01-11,92598
Bahrain,BHR,2021-01-12,97776
Bahrain,BHR,2021-01-13,101363
Bahrain,BHR,2021-01-14,109566
Bahrain,BHR,2021-01-15,122819
Bahrain,BHR,2021-01-16,137159
Bahrain,BHR,2021-01-17,141563
Bahrain,BHR,2021-01-18,142831
Bahrain,BHR,2021-01-19,143596
Bahrain,BHR,2021-01-20,144130
Bahrain,BHR,2021-01-26,165953
Bahrain,BHR,2021-01-27,167731
Bahrain,BHR,2021-01-28,169440
Bahrain,BHR,2021-01-29,169810
Bahrain,BHR,2021-01-30,170433
Bahrain,BHR,2021-01-31,171568
Bahrain,BHR,2021-02-01,172912
Bahrain,BHR,2021-02-02,174075
Bahrain,BHR,2021-02-03,175094
Bahrain,BHR,2021-02-04,177233
Bahrain,BHR,2021-02-05,179550
Bahrain,BHR,2021-02-06,182543
Bahrain,BHR,2021-02-07,191406
Bahrain,BHR,2021-02-08,201116
Bahrain,BHR,2021-02-09,212940
Bahrain,BHR,2021-02-10,219595
Bahrain,BHR,2021-02-11,224919
Bahrain,BHR,2021-02-12,232540
Bahrain,BHR,2021-02-13,242260
Bahrain,BHR,2021-02-14,248775
Bahrain,BHR,2021-02-15,250946
Bahrain,BHR,2021-02-16,252990
Bahrain,BHR,2021-02-17,257580
Bahrain,BHR,2021-02-18,263422
Bahrain,BHR,2021-02-19,268273
Bahrain,BHR,2021-02-20,271749
Bahrain,BHR,2021-02-21,274960
Bahrain,BHR,2021-02-22,278222
Bahrain,BHR,2021-02-23,281425
Bahrain,BHR,2021-02-24,284948
Bahrain,BHR,2021-02-25,290103
Bahrain,BHR,2021-02-26,292917
Bahrain,BHR,2021-02-27,295296
Bahrain,BHR,2021-02-28,298171
Bahrain,BHR,2021-03-01,301103
Bahrain,BHR,2021-03-02,302671
Bahrain,BHR,2021-03-03,303962
Bahrain,BHR,2021-03-04,305619
Bahrain,BHR,2021-03-05,307142
Bahrain,BHR,2021-03-06,307145
Bahrain,BHR,2021-03-07,308465
Bahrain,BHR,2021-03-08,309741
Bahrain,BHR,2021-03-09,310644
Bahrain,BHR,2021-03-10,311829
Bahrain,BHR,2021-03-11,312104
Bahrain,BHR,2021-03-12,312119
Bahrain,BHR,2021-03-13,322508
Bahrain,BHR,2021-03-14,337016
Bahrain,BHR,2021-03-15,349970
Bahrain,BHR,2021-03-16,361241
Bahrain,BHR,2021-03-17,374873
Bahrain,BHR,2021-03-18,386426
Bahrain,BHR,2021-03-19,396356
Bahrain,BHR,2021-03-20,407322
Bahrain,BHR,2021-03-21,417364
Bahrain,BHR,2021-03-22,428240
Bahrain,BHR,2021-03-23,439433
Bahrain,BHR,2021-03-24,452551
Bahrain,BHR,2021-03-25,464040
Bahrain,BHR,2021-03-26,471927
Bahrain,BHR,2021-03-27,478094
Bahrain,BHR,2021-03-28,487640
Bahrain,BHR,2021-03-29,496492
Bahrain,BHR,2021-03-30,502541
Bahrain,BHR,2021-03-31,510877
Bahrain,BHR,2021-04-01,517603
Bahrain,BHR,2021-04-02,522955
Bahrain,BHR,2021-04-03,527339
Bahrain,BHR,2021-04-04,530415
Bahrain,BHR,2021-04-05,534356
Bahrain,BHR,2021-04-06,539956
Bahrain,BHR,2021-04-07,546540
Bahrain,BHR,2021-04-08,552084
Bahrain,BHR,2021-04-09,557298
Bahrain,BHR,2021-04-10,562253
Bahrain,BHR,2021-04-11,565171
Bahrain,BHR,2021-04-12,568892
Bahrain,BHR,2021-04-13,573564
Bahrain,BHR,2021-04-14,578085
Bahrain,BHR,2021-04-15,582461
Bahrain,BHR,2021-04-16,586279
Bahrain,BHR,2021-04-17,591761
Bangladesh,BGD,2021-01-26,0
Bangladesh,BGD,2021-01-27,26
Bangladesh,BGD,2021-01-28,567
Bangladesh,BGD,2021-02-07,31160
Bangladesh,BGD,2021-02-09,179318
Bangladesh,BGD,2021-02-10,337769
Bangladesh,BGD,2021-02-13,736680
Bangladesh,BGD,2021-02-14,906033
Bangladesh,BGD,2021-02-15,1132711
Bangladesh,BGD,2021-02-16,1359613
Bangladesh,BGD,2021-02-17,1586368
Bangladesh,BGD,2021-02-18,1848313
Bangladesh,BGD,2021-02-20,2082877
Bangladesh,BGD,2021-02-22,2308157
Bangladesh,BGD,2021-02-23,2491053
Bangladesh,BGD,2021-02-24,2673038
Bangladesh,BGD,2021-02-25,2850940
Bangladesh,BGD,2021-02-27,2984773
Bangladesh,BGD,2021-02-28,3110525
Bangladesh,BGD,2021-03-02,3341505
Bangladesh,BGD,2021-03-04,3581169
Bangladesh,BGD,2021-03-07,3682152
Bangladesh,BGD,2021-03-09,4013963
Bangladesh,BGD,2021-03-11,4218127
Bangladesh,BGD,2021-03-14,4398094
Bangladesh,BGD,2021-03-16,4580391
Bangladesh,BGD,2021-03-18,4687824
Bangladesh,BGD,2021-03-20,4760747
Bangladesh,BGD,2021-03-22,4911902
Bangladesh,BGD,2021-03-24,5069049
Bangladesh,BGD,2021-03-25,5139456
Bangladesh,BGD,2021-03-29,5319679
Bangladesh,BGD,2021-03-31,5370431
Bangladesh,BGD,2021-04-01,5412691
Bangladesh,BGD,2021-04-03,5452634
Bangladesh,BGD,2021-04-04,5498172
Bangladesh,BGD,2021-04-05,5539494
Bangladesh,BGD,2021-04-07,5568703
Bangladesh,BGD,2021-04-08,5583507
Bangladesh,BGD,2021-04-10,5603450
Bangladesh,BGD,2021-04-11,5627107
Bangladesh,BGD,2021-04-12,5649563
Bangladesh,BGD,2021-04-15,5686885
Barbados,BRB,2021-02-15,4490
Barbados,BRB,2021-02-16,6683
Barbados,BRB,2021-02-17,9115
Barbados,BRB,2021-02-18,11494
Barbados,BRB,2021-02-19,14411
Barbados,BRB,2021-02-20,15837
Barbados,BRB,2021-02-21,16544
Barbados,BRB,2021-02-22,19089
Barbados,BRB,2021-02-23,22037
Barbados,BRB,2021-02-24,25578
Barbados,BRB,2021-02-25,29283
Barbados,BRB,2021-02-26,33633
Barbados,BRB,2021-02-27,36749
Barbados,BRB,2021-02-28,38615
Barbados,BRB,2021-03-01,41125
Barbados,BRB,2021-03-02,43235
Barbados,BRB,2021-03-03,44859
Barbados,BRB,2021-03-04,46442
Barbados,BRB,2021-03-05,48480
Barbados,BRB,2021-03-06,48886
Barbados,BRB,2021-03-07,49317
Barbados,BRB,2021-03-08,49393
Barbados,BRB,2021-03-09,49757
Barbados,BRB,2021-03-10,50263
Barbados,BRB,2021-03-11,50703
Barbados,BRB,2021-03-12,50980
Barbados,BRB,2021-03-13,51595
Barbados,BRB,2021-03-14,52290
Barbados,BRB,2021-03-15,53129
Barbados,BRB,2021-03-16,54631
Barbados,BRB,2021-03-17,56018
Barbados,BRB,2021-03-18,58214
Barbados,BRB,2021-03-19,60206
Barbados,BRB,2021-03-20,61108
Barbados,BRB,2021-03-21,61752
Barbados,BRB,2021-03-22,61781
Barbados,BRB,2021-03-23,62765
Barbados,BRB,2021-03-25,62802
Barbados,BRB,2021-03-26,63689
Barbados,BRB,2021-03-29,63711
Barbados,BRB,2021-03-30,63715
Barbados,BRB,2021-03-31,63728
Barbados,BRB,2021-04-01,63735
Barbados,BRB,2021-04-02,63738
Barbados,BRB,2021-04-07,63747
Barbados,BRB,2021-04-08,64645
Barbados,BRB,2021-04-09,65867
Barbados,BRB,2021-04-10,65873
Barbados,BRB,2021-04-14,66069
Barbados,BRB,2021-04-15,66900
Belarus,BLR,2020-12-28,0
Belarus,BLR,2021-02-18,20944
Belarus,BLR,2021-03-12,20000
Belarus,BLR,2021-03-26,40518
Belarus,BLR,2021-04-09,92000
Belgium,BEL,2020-12-28,298
Belgium,BEL,2020-12-29,299
Belgium,BEL,2020-12-30,777
Belgium,BEL,2020-12-31,786
Belgium,BEL,2021-01-01,794
Belgium,BEL,2021-01-04,796
Belgium,BEL,2021-01-05,2445
Belgium,BEL,2021-01-06,6328
Belgium,BEL,2021-01-07,14510
Belgium,BEL,2021-01-08,23751
Belgium,BEL,2021-01-09,26957
Belgium,BEL,2021-01-10,27356
Belgium,BEL,2021-01-11,32935
Belgium,BEL,2021-01-12,48617
Belgium,BEL,2021-01-13,70028
Belgium,BEL,2021-01-14,93261
Belgium,BEL,2021-01-15,116583
Belgium,BEL,2021-01-16,121742
Belgium,BEL,2021-01-17,125048
Belgium,BEL,2021-01-18,135965
Belgium,BEL,2021-01-19,155016
Belgium,BEL,2021-01-20,175820
Belgium,BEL,2021-01-21,205932
Belgium,BEL,2021-01-22,235313
Belgium,BEL,2021-01-23,243601
Belgium,BEL,2021-01-24,245477
